Judge,Model,ROUGE_L_recall,ROUGE_L_precision,ROUGE_L_F1,Token_overlap_recall,Token_overlap_precision,Token_overlap_F1,BLEU_score,LLM_Correctness,Human_QE
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.575342466,0.358974359,0.442105258,0.545454545,0.263157895,0.355029586,0.377094069,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.555555556,0.583333333,0.569105686,0.622222222,0.571428571,0.595744681,0.680206524,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.04,0.3,0.070588233,0,0,0,3.69E-05,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.236111111,0.525773196,0.32587859,0.191111111,0.367521368,0.251461988,0.306252214,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.15,0.204545455,0.173076918,0.146341463,0.193548387,0.166666667,0.364543485,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.421875,0.346153846,0.380281685,0.294117647,0.1875,0.229007634,0.56749392,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.265957447,0.510204082,0.349650345,0.123287671,0.264705882,0.168224299,0.190594434,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.593220339,0.353535354,0.44303797,0.441860465,0.2,0.275362319,0.376604893,0.25,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.241590214,0.424731183,0.307992198,0.135416667,0.206349206,0.163522013,0.504192849,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.441860465,0.527777778,0.481012653,0.333333333,0.34591195,0.339506173,0.646830343,0.75,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.20795107,0.5,0.293736497,0.119791667,0.285714286,0.168807339,0.153475943,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.4_temp,0.377906977,0.474452555,0.420711969,0.248484848,0.239766082,0.244047619,0.66170251,0.75,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.575342466,0.381818182,0.459016389,0.527272727,0.258928571,0.347305389,0.381026667,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.603174603,0.666666667,0.633333328,0.644444444,0.591836735,0.617021277,0.707104381,0.75,1
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.04,0.3,0.070588233,0,0,0,3.69E-05,0,0.5
